read_id	alignment_direction	alignment_genome	alignment_genome_start	alignment_genome_end	alignment_mapq
2ab2ae04-63ed-48df-8a01-3800b4154537	+	chr5_Head	49210	50225	0
2ab2ae04-63ed-48df-8a01-3800b4154537	+	chr5_Head	56129	57740	44
eb82e11d-c9fd-462a-b899-b35663d18424	-	chr5_Head	56389	57363	0
09098083-9d70-43cc-997a-9b6fcc5c9410	+	chr5_Head	56999	57954	0
81742d15-1965-4820-8891-57d4d0700791	-	chr5_Head	57014	57749	0
8f2b8b28-48b1-4d05-8701-02869c6b01a2	-	chr5_Head	97878	98132	0
15509418-f75a-4ab3-8534-45ed86fef394	+	chr5_Head	103428	105136	0
3bee6729-7a05-4f4f-950d-d9378b17fb3c	-	chr5_Head	103451	105134	0
c2af814b-5c19-46f1-9a18-4c8e37c02eff	-	chr5_Head	106289	106410	1
3c383c38-5cf2-4c49-a53a-1bd2592fa5a2	+	chr5_Head	109682	109974	0
fad75de4-ecb7-458f-b152-4a4be47b96f6	+	chr5_Head	109731	109973	0
494d35a1-6c14-4979-90b5-1f0195ffe824	+	chr5_Head	111133	111426	1
11077c45-b213-442e-b891-a4643ec7d187	+	chr5_Head	123207	123500	0
8c1d62d6-5589-4adb-a27c-001b3249befe	+	chr5_Head	123250	123908	26
f32bd508-ed02-407f-83f7-3044566b1d5d	-	chr5_Head	123622	123913	0
950364fb-1425-4ab4-a19c-7c0ae54f07aa	-	chr5_Head	123631	123906	1
4800e5ff-ba84-40e6-88b1-acd5130b9006	-	chr5_Head	141606	141908	1
55a015d5-d220-45bf-9f34-0057829a7deb	-	chr5_Head	142115	142472	39
b4f45cf4-bb67-4ad0-ad65-0cc14516b7a2	+	chr5_Head	143407	143612	0
264aad39-3f75-45fb-adf7-988df00e3937	-	chr6_Head	15670	16007	0
1f321fe5-36cf-4861-9e24-4f70ea61c489	-	chr6_Head	15786	16007	0
15509418-f75a-4ab3-8534-45ed86fef394	+	chr6_Head	20202	20464	0
5dac4aab-a3b4-49a2-9c0c-c2e4fa724518	-	chr6_Head	23447	23807	0
eb82e11d-c9fd-462a-b899-b35663d18424	-	chr6_Head	24058	25137	1
81742d15-1965-4820-8891-57d4d0700791	-	chr6_Head	24789	25724	0
fad75de4-ecb7-458f-b152-4a4be47b96f6	+	chr6_Head	25110	25726	2
cddb222b-3217-42b1-af19-a48967bd1ab9	+	chr6_Head	27111	27437	1
4800e5ff-ba84-40e6-88b1-acd5130b9006	+	chr6_Head	27116	27370	25
d9f9f44f-d400-4658-9313-ad7f206fb3da	+	chr6_Head	29079	29363	28
54dc6430-63bb-40d5-b79d-04af727c80e1	-	chr6_Head	34069	34361	7
832a15ea-a7d2-4377-b81a-299f06b816ab	-	chr6_Head	34075	34356	4
d9f9f44f-d400-4658-9313-ad7f206fb3da	-	chr6_Head	46631	46861	0
02bfb3ad-2d40-4828-bb25-44e1f76372b1	+	chr6_Head	51279	51535	15
d99fe13e-a3f6-4482-942e-01c6f1b80dde	+	chr6_Head	51284	51561	1
8c1d62d6-5589-4adb-a27c-001b3249befe	-	chr6_Head	53149	53332	1
3de93e94-e537-45e7-a418-5fc9fb6d4ce6	+	chr6_Head	59947	60257	2
0fae791c-e30c-413a-88da-9a003564bef4	-	chr6_Head	80593	80836	8
ccf77dae-395f-4109-a638-424ab035301d	+	chr6_Head	82201	82258	9
4c757c91-bfb9-4256-8411-0d3fcf91651c	-	chr6_Head	83120	83418	0
e8f21d0a-9b09-4355-8c2c-2230324c9a3f	+	chr6_Head	84212	84707	33
c83ffe9a-cebd-4577-8e5f-5a06e4b6cea8	-	chr6_Head	84218	84713	1
0fae791c-e30c-413a-88da-9a003564bef4	-	chr6_Head	84220	84652	3
c3e25a7c-7fd9-40b9-b6a9-946b41a82423	+	chr6_Head	84480	84746	1
3377414a-9e2c-4a00-b67a-e5d628b2433f	-	chr6_Head	85906	86204	0
7d290fdf-3da6-4455-8564-2ec11fe2e953	+	chr6_Head	85933	86205	6
fc57f908-ce60-4953-864e-6cf674ef156d	-	chr6_Head	90853	91114	0
45cdcd1e-4a3f-4ef0-a035-2d496fcc4919	+	chr6_Head	92950	93244	0
3377414a-9e2c-4a00-b67a-e5d628b2433f	+	chr6_Head	94433	97187	60
eb82e11d-c9fd-462a-b899-b35663d18424	-	chr6_Head	94433	96127	60
176db1e5-dd25-4031-be1b-6b98a3b90497	-	chr6_Head	94433	97192	60
09098083-9d70-43cc-997a-9b6fcc5c9410	-	chr6_Head	94907	96854	39
e4c33489-dc77-442c-b2a9-d75b571b1681	-	chr6_Head	95076	96883	0
99985915-30e6-4aa0-92ad-ba88c29ba00f	+	chr6_Head	100996	101244	16
e8f21d0a-9b09-4355-8c2c-2230324c9a3f	+	chr6_Head	105517	105799	1
d99fe13e-a3f6-4482-942e-01c6f1b80dde	+	chr6_Head	113781	114081	0
a6a23bf4-5a86-47b5-9a26-ac7f78e619b0	+	chr6_Head	116220	116507	5
a6a23bf4-5a86-47b5-9a26-ac7f78e619b0	+	chr6_Head	120021	120436	12
525f76f8-a357-40c7-a456-b3017440ef11	+	chr6_Head	122883	123146	0
e8f21d0a-9b09-4355-8c2c-2230324c9a3f	-	chr6_Head	126125	126413	6
5b89a719-9200-4d4a-a0c6-944d6b929475	+	chr6_Head	132122	132424	0
2f63e679-6958-4f46-89c6-77a4a59ca541	+	chr6_Head	132123	132430	0
09098083-9d70-43cc-997a-9b6fcc5c9410	-	chr6_Head	138097	138389	0
9858ddd0-3658-47d3-8ffa-5391d7eeba2d	+	chr6_Head	138098	138387	0
ef49dc14-d23b-4102-89f2-6446604d3590	+	chr7_Head	48029	48323	0
80c61827-d5d0-477e-91e7-0428105fb0a5	-	chr7_Head	55355	55645	0
88efa954-ae85-475e-828e-2a734d4cbb58	-	chr7_Head	84431	85086	0
3fad8c4a-12a1-43dc-b826-d6aa79ed75a5	-	chr7_Head	94253	94511	0
3d996caa-cc16-491d-b6cb-e931a4656c7b	-	chr7_Head	105264	105325	0
e8f21d0a-9b09-4355-8c2c-2230324c9a3f	-	chr7_Head	105565	106272	0
4d22a731-93fc-48e2-a825-0352962b785f	-	chr7_Head	105566	105857	1
bb294e40-6f6b-4233-91d0-be03aa08d014	+	chr7_Head	106017	106277	0
597f7a6e-2d7f-4edc-81b8-712f1fd53649	+	chr7_Head	110480	111254	60
69931762-d1ae-4676-88cb-0cff5a0ea39c	+	chr7_Head	110480	111253	60
69931762-d1ae-4676-88cb-0cff5a0ea39c	+	chr7_Head	110480	111254	35
07cc2587-22f4-423c-b9f5-2db475f9e14d	+	chr7_Head	110480	111254	9
832a15ea-a7d2-4377-b81a-299f06b816ab	+	chr7_Head	123093	123231	0
4eb51968-9360-468f-a92a-79bda3c66e60	-	chr7_Head	144086	146527	0
4a9b6d46-1097-4206-aee3-5d6a41b4d515	+	chr7_Head	144094	146455	0
f07315de-68a3-443d-b6db-569b89922c4c	+	chr7_Head	144192	146587	0
55748afc-9646-4dde-860f-eef210ede57d	-	chr7_Head	144378	146465	0
fd781713-af3d-4f65-80b9-cc21a5661dfa	+	chr7_Head	144718	146513	0
4d22a731-93fc-48e2-a825-0352962b785f	-	chr7_Head	144856	146587	0
0083b83b-c904-4d65-9edd-da15bbce5a4e	+	chr7_Head	144955	145787	0
1db45993-004d-4b9f-a84d-8a2fa0014274	-	chr7_Head	145028	146587	0
81e084c2-d196-4393-ac6e-6cb9b882729d	+	chr7_Head	146176	146392	0
3fad8c4a-12a1-43dc-b826-d6aa79ed75a5	+	chr8_Head	21152	21444	0
3fad8c4a-12a1-43dc-b826-d6aa79ed75a5	-	chr8_Head	22462	22679	0
54dc6430-63bb-40d5-b79d-04af727c80e1	+	chr8_Head	33512	33791	0
2ab2ae04-63ed-48df-8a01-3800b4154537	-	chr8_Head	36031	36395	4
ebbdcd1a-37fc-4003-8d7e-24dc80790ee9	-	chr8_Head	41720	42304	1
c3e25a7c-7fd9-40b9-b6a9-946b41a82423	+	chr8_Head	42062	42336	0
15509418-f75a-4ab3-8534-45ed86fef394	-	chr8_Head	42062	42330	0
6828bfef-dc58-4509-ac43-ef58ec5da724	+	chr8_Head	48539	48844	0
6107829d-841d-4ba9-b52d-8544b3afd518	-	chr8_Head	51252	51557	0
494d35a1-6c14-4979-90b5-1f0195ffe824	+	chr8_Head	52509	52615	2
ca7e6198-5158-4de0-afd8-cb4231771fc1	+	chr8_Head	53878	54201	1
ebbdcd1a-37fc-4003-8d7e-24dc80790ee9	+	chr8_Head	53896	54223	7
cddb222b-3217-42b1-af19-a48967bd1ab9	+	chr8_Head	53896	54177	1
7d290fdf-3da6-4455-8564-2ec11fe2e953	+	chr8_Head	57908	58210	0
983b05ac-88c6-4170-93f3-86c6783efb07	-	chr9_Head	29862	30151	0
423f82f1-b3d3-4c3d-a5cc-e6884c9984cd	-	chr9_Head	32399	32665	9
10db0147-193b-40c2-befd-91cfcce682d6	+	chr9_Head	36304	36626	1
5eda8221-8e14-45da-9be1-bbb255610e4b	-	chr9_Head	88647	88885	7
ccf77dae-395f-4109-a638-424ab035301d	+	chr9_Head	114995	116386	0
1f321fe5-36cf-4861-9e24-4f70ea61c489	+	chr9_Head	115000	115311	18
0e950199-6fad-424a-a63f-8dfaa9376c87	+	chr9_Head	131067	136363	38
e86cb83e-253c-4645-a589-02ceeeaf746b	-	chr9_Head	131452	136349	20
5a9ff7e2-5ae9-4c18-b361-7145866fa187	+	chr9_Head	131629	135418	0
1c8789d0-8d0a-4f39-a83b-4bbfb68d9820	-	chr9_Head	132531	136384	13
faf721b9-e5d0-4640-be93-ab25a8d70349	-	chr9_Head	132800	134992	4
4a9b6d46-1097-4206-aee3-5d6a41b4d515	+	chr9_Head	133624	136141	23
f07315de-68a3-443d-b6db-569b89922c4c	+	chr9_Head	133875	136354	13
fe15c70a-ea8d-4b8d-95a7-38a82f82cb59	+	chr9_Head	134012	134194	0
4d22a731-93fc-48e2-a825-0352962b785f	-	chr9_Head	134539	136365	1
4c757c91-bfb9-4256-8411-0d3fcf91651c	-	chr9_Head	140763	141060	1
0e950199-6fad-424a-a63f-8dfaa9376c87	+	chr10_Head	26576	31830	0
1c8789d0-8d0a-4f39-a83b-4bbfb68d9820	-	chr10_Head	28010	31821	0
faf721b9-e5d0-4640-be93-ab25a8d70349	-	chr10_Head	28279	30472	0
4a9b6d46-1097-4206-aee3-5d6a41b4d515	+	chr10_Head	29104	31622	0
4eb51968-9360-468f-a92a-79bda3c66e60	-	chr10_Head	29122	31700	0
2ab2ae04-63ed-48df-8a01-3800b4154537	-	chr10_Head	29996	31075	1
0083b83b-c904-4d65-9edd-da15bbce5a4e	+	chr10_Head	30118	30950	8
15509418-f75a-4ab3-8534-45ed86fef394	+	chr10_Head	45087	45446	0
3083def3-f431-4d95-9f93-8e00c157ace1	-	chr10_Head	45378	45704	0
4366c8f4-129a-49f8-a05c-2702c327583c	-	chr10_Head	45384	45704	0
176db1e5-dd25-4031-be1b-6b98a3b90497	+	chr10_Head	51584	53313	0
cc1a10ea-867d-4696-9dc2-e704a46235a8	-	chr10_Head	52477	52812	6
eb82e11d-c9fd-462a-b899-b35663d18424	+	chr10_Head	52543	53334	3
e86cb83e-253c-4645-a589-02ceeeaf746b	+	chr10_Head	55763	56049	41
0841c511-2755-4bae-a137-0040d8f41e44	-	chr10_Head	55764	56049	40
d9f9f44f-d400-4658-9313-ad7f206fb3da	-	chr10_Head	55818	56049	0
b4f45cf4-bb67-4ad0-ad65-0cc14516b7a2	-	chr10_Head	55846	56049	0
45cdcd1e-4a3f-4ef0-a035-2d496fcc4919	-	chr10_Head	62583	63061	1
c3e25a7c-7fd9-40b9-b6a9-946b41a82423	+	chr10_Head	62603	62874	0
743a7dbf-573a-4501-a0e2-02fe31572b58	+	chr10_Head	64763	64964	0
40e7d3d4-3f99-4247-af01-3caa48b9a99f	-	chr10_Head	65670	65964	9
b087dc75-3ae2-406b-a60b-e43ca7459cdc	+	chr10_Head	65678	65965	0
2a590ad7-7277-45be-8e42-bb4c62fd9dc9	+	chr10_Head	65680	65969	10
c9fa6f4f-771e-478c-92c5-d8a71ab7f943	+	chr10_Head	65681	65967	0
dc141981-dbb0-420f-ad3a-fde96d7591a7	-	chr10_Head	65681	66444	6
c380b73a-60f0-45e0-b483-d5d0540e2599	-	chr10_Head	65736	65951	1
3083def3-f431-4d95-9f93-8e00c157ace1	-	chr10_Head	84921	85279	1
81742d15-1965-4820-8891-57d4d0700791	+	chr10_Head	85122	85569	0
eb82e11d-c9fd-462a-b899-b35663d18424	+	chr10_Head	86477	87447	0
a4aac2b9-e332-4bc4-badd-750f87c7f51d	+	chr10_Head	93157	93473	0
11077c45-b213-442e-b891-a4643ec7d187	-	chr10_Head	98944	99217	0
f4fc89dd-4d0d-4adf-bd6d-7b1c7995264f	-	chr10_Head	98953	99195	1
5eda8221-8e14-45da-9be1-bbb255610e4b	+	chr10_Head	98967	99229	1
e89a24b0-7c39-42cc-8e43-8f981dafd92f	-	chr10_Head	104122	104414	10
da8851a9-b33d-4314-bdda-2e28dcf1287c	+	chr10_Head	104133	104417	0
e89a24b0-7c39-42cc-8e43-8f981dafd92f	+	chr10_Head	104609	104846	10
e89a24b0-7c39-42cc-8e43-8f981dafd92f	-	chr10_Head	105268	105387	0
a1b8ab51-3b05-4ea3-a51b-67d678abfd1a	+	chr10_Head	109213	109577	0
a6a23bf4-5a86-47b5-9a26-ac7f78e619b0	-	chr10_Head	109228	109607	0
fe15c70a-ea8d-4b8d-95a7-38a82f82cb59	-	chr10_Head	111354	111535	0
c9fa6f4f-771e-478c-92c5-d8a71ab7f943	+	chr10_Head	116426	116712	0
c380b73a-60f0-45e0-b483-d5d0540e2599	+	chr10_Head	119295	119594	0
4d22a731-93fc-48e2-a825-0352962b785f	+	chr10_Head	129974	130263	17
9a3d44d4-cc40-4ac8-9d31-c1f5c9474380	+	chr10_Head	134513	134778	3
60123151-c950-420c-aa8c-37d7f82fe567	+	chr10_Head	135875	136869	0
d9669075-60c9-45e9-8e10-f150d964121a	-	chr10_Head	139595	139828	0
faf721b9-e5d0-4640-be93-ab25a8d70349	+	chr10_Head	140130	141771	60
10db0147-193b-40c2-befd-91cfcce682d6	+	chr11_Head	49215	49523	0
6107829d-841d-4ba9-b52d-8544b3afd518	-	chr11_Head	49215	49523	0
a3694b65-9221-4a6c-ab70-f722edd6bcfc	+	chr11_Head	60584	60627	1
81e084c2-d196-4393-ac6e-6cb9b882729d	-	chr11_Head	62586	62802	0
bd8fbcf7-74c2-4913-93e4-263f727d5d0f	+	chr11_Head	62814	63309	0
05d3a628-8ca7-4100-a782-e55ed95c1570	+	chr11_Head	69267	69558	0
de90baf2-3c24-41ff-af8c-a4883da5fcb8	-	chr11_Head	69267	69547	0
81e084c2-d196-4393-ac6e-6cb9b882729d	-	chr11_Head	98247	98463	0
3deea9c0-58d2-45a4-b507-acd0cf792fb8	+	chr11_Head	101325	101653	1
5e1b3846-6d42-4aac-8221-d9dfd3400f61	+	chr11_Head	106833	107742	0
1b1493e2-19ea-41aa-ab0d-387b6aefc6b7	+	chr11_Head	107482	107747	0
e4c33489-dc77-442c-b2a9-d75b571b1681	-	chr11_Head	108507	109785	0
264aad39-3f75-45fb-adf7-988df00e3937	-	chr11_Head	125765	126125	0
ef49dc14-d23b-4102-89f2-6446604d3590	+	chr11_Head	137658	137952	0
80c61827-d5d0-477e-91e7-0428105fb0a5	-	chr11_Head	144979	145269	0
6828bfef-dc58-4509-ac43-ef58ec5da724	-	chr12_Head	23827	24132	27
99985915-30e6-4aa0-92ad-ba88c29ba00f	-	chr12_Head	35441	36257	0
d7a02959-f56e-44a1-9962-95a9f3fe1c70	+	chr12_Head	35594	35944	0
423f82f1-b3d3-4c3d-a5cc-e6884c9984cd	-	chr12_Head	35693	35959	0
bb294e40-6f6b-4233-91d0-be03aa08d014	+	chr12_Head	45179	45347	3
60123151-c950-420c-aa8c-37d7f82fe567	-	chr12_Head	49837	51593	0
ccf77dae-395f-4109-a638-424ab035301d	+	chr12_Head	50715	50841	1
09098083-9d70-43cc-997a-9b6fcc5c9410	-	chr12_Head	61861	62138	1
b3c0c15a-3e51-4f63-b055-8f89686b02e0	-	chr12_Head	97284	97593	12
7d290fdf-3da6-4455-8564-2ec11fe2e953	-	chr12_Head	97285	97594	0
0fae791c-e30c-413a-88da-9a003564bef4	-	chr12_Head	97287	97594	1
d9669075-60c9-45e9-8e10-f150d964121a	-	chr12_Head	97288	97593	2
915c28f8-fcda-45a8-b4d4-263617baa69d	+	chr12_Head	97290	97594	1
7a2642d8-adc7-45c0-86ac-cf308d1a4671	+	chr12_Head	97298	97594	0
ca7e6198-5158-4de0-afd8-cb4231771fc1	-	chr12_Head	97302	97593	15
b09aea71-14ac-4e22-a85e-8a7306451045	-	chr12_Head	97305	97579	2
c83ffe9a-cebd-4577-8e5f-5a06e4b6cea8	+	chr12_Head	113988	114269	5
99985915-30e6-4aa0-92ad-ba88c29ba00f	+	chr12_Head	113989	114300	60
da74c175-e7e4-4160-825a-913e81a04a08	+	chr13_Head	16739	23798	0
0b285118-2cd1-45db-ae10-479f2ace4f51	+	chr13_Head	18142	18756	0
da74c175-e7e4-4160-825a-913e81a04a08	+	chr13_Head	18413	25731	1
da74c175-e7e4-4160-825a-913e81a04a08	+	chr13_Head	20261	27075	0
0b285118-2cd1-45db-ae10-479f2ace4f51	+	chr13_Head	22421	23080	0
0b285118-2cd1-45db-ae10-479f2ace4f51	+	chr13_Head	27906	28588	1
0b285118-2cd1-45db-ae10-479f2ace4f51	+	chr13_Head	32507	33153	0
0b285118-2cd1-45db-ae10-479f2ace4f51	+	chr13_Head	40375	41021	0
0b285118-2cd1-45db-ae10-479f2ace4f51	+	chr13_Head	52387	53044	0
a1b8ab51-3b05-4ea3-a51b-67d678abfd1a	-	chr15_Head	5673	6027	0
a6a23bf4-5a86-47b5-9a26-ac7f78e619b0	+	chr15_Head	27722	28098	1
fe15c70a-ea8d-4b8d-95a7-38a82f82cb59	-	chr15_Head	33712	33894	0
7d290fdf-3da6-4455-8564-2ec11fe2e953	+	chr15_Head	40373	40680	1
62e423d5-67e1-4660-9625-27ecfa6b44f4	+	chr15_Head	42335	42535	0
54dc6430-63bb-40d5-b79d-04af727c80e1	-	chr15_Head	43392	43687	1
d2840f27-afa7-44e6-b996-618f584f38f1	+	chr15_Head	43398	43678	0
7b8a9146-c8fc-46e0-91b0-f365255c1cc7	+	chr15_Head	43404	43676	0
c2af814b-5c19-46f1-9a18-4c8e37c02eff	+	chr15_Head	43681	43857	0
c2af814b-5c19-46f1-9a18-4c8e37c02eff	+	chr15_Head	43805	43902	0
d2840f27-afa7-44e6-b996-618f584f38f1	+	chr15_Head	46435	46733	1
5a9ff7e2-5ae9-4c18-b361-7145866fa187	-	chr15_Head	46435	46737	4
fad75de4-ecb7-458f-b152-4a4be47b96f6	+	chr15_Head	46494	46731	0
9858ddd0-3658-47d3-8ffa-5391d7eeba2d	-	chr16_Head	29062	29311	0
c0013859-caf4-428f-a12c-e3d5adf0e01f	-	chr16_Head	29062	29316	0
d9669075-60c9-45e9-8e10-f150d964121a	+	chr16_Head	35267	35553	0
f32bd508-ed02-407f-83f7-3044566b1d5d	-	chr16_Head	39784	40078	7
dc141981-dbb0-420f-ad3a-fde96d7591a7	-	chr16_Head	39786	40408	33
a4aac2b9-e332-4bc4-badd-750f87c7f51d	+	chr16_Head	39790	40078	0
62e423d5-67e1-4660-9625-27ecfa6b44f4	+	chr16_Head	40443	40652	0
f2ba16c7-fd4a-4a85-bb58-499541a4bedb	+	chr16_Head	41783	42075	1
950364fb-1425-4ab4-a19c-7c0ae54f07aa	+	chr16_Head	42990	43285	0
915c28f8-fcda-45a8-b4d4-263617baa69d	-	chr16_Head	42990	43289	0
494d35a1-6c14-4979-90b5-1f0195ffe824	-	chr16_Head	42990	43291	0
de90baf2-3c24-41ff-af8c-a4883da5fcb8	-	chr16_Head	42994	43716	11
2f63e679-6958-4f46-89c6-77a4a59ca541	-	chr16_Head	42995	43289	0
05d3a628-8ca7-4100-a782-e55ed95c1570	+	chr16_Head	43009	43714	0
2a590ad7-7277-45be-8e42-bb4c62fd9dc9	+	chr16_Head	43415	43714	0
2f63e679-6958-4f46-89c6-77a4a59ca541	+	chr16_Head	74731	75036	1
10db0147-193b-40c2-befd-91cfcce682d6	+	chr16_Head	78811	79137	0
10db0147-193b-40c2-befd-91cfcce682d6	-	chr16_Head	78812	79674	0
2f63e679-6958-4f46-89c6-77a4a59ca541	+	chr16_Head	84828	85123	1
1f321fe5-36cf-4861-9e24-4f70ea61c489	+	chr16_Head	84908	85124	1
02bfb3ad-2d40-4828-bb25-44e1f76372b1	+	chr16_Head	89929	90202	1
45cdcd1e-4a3f-4ef0-a035-2d496fcc4919	-	chr16_Head	89929	90202	1
